KBJC,Broomfield / Jeffco,America/Denver,39.90085,-105.10417
KBJI,Bemidji,America/Chicago,47.50762,-94.92783
KBJJ,"Wooster, Wayne County Airport",America/New_York,40.87306,-81.88667
KBKB,Ft. Polk - Fullerton Landing Strip,America/Chicago,31.0217,-92.9107
KBKD,Stephens County Airport,America/Chicago,32.719,-98.891
KBKE,Baker Municipal Airport,America/Los_Angeles,44.84302,-117.80987
KBKF,Buckley Air Force Base Airport,America/Denver,39.71331,-104.75806
KBKL,"Cleveland, Burke Lakefront Airport",America/New_York,41.52556,-81.66889
KBKS,"Falfurrias, Brooks County Airport",America/Chicago,27.20667,-98.12111
KBKT,Ft. Pickett / Blackstone,America/New_York,37.0833299,-77.95
KBKV,"Brooksville, Hernando County Airport",America/New_York,28.47361,-82.45444
KBKW,"Beckley, Raleigh County Memorial Airport",America/New_York,37.795,-81.12472
KBKX,"Brookings, Brookings Municipal Airport",America/Chicago,44.3,-96.81667
KBLF,"Bluefield, Mercer County Airport",America/New_York,37.29583,-81.20778
KBLH,"Blythe, Blythe Airport",America/Los_Angeles,33.6191699,-114.71694
KBLI,"Bellingham, Bellingham International Airport",America/Los_Angeles,48.79911,-122.54064
KBLM,Belmar-Farmingdale,America/New_York,40.18333,-74.13333
KBLU,"Emigrant Gap, Blue Canyon Nyack Airport",America/Los_Angeles,39.27611,-120.70806
KBLV,"Belleville, Scott AFB/MidAmerica Airport",America/Chicago,38.55,-89.85
KBMC,BRIGHAM CITY AIRPORT,America/Denver,41.51,-112.05
KBMG,"Bloomington, Monroe County Airport",America/Indiana/Indianapolis,39.14306,-86.61667
KBMI,"Bloomington/Normal, Central Illinois Regional Airport at Bloomington-Normal",America/Chicago,40.47694,-88.91583
KBML,"Berlin, Berlin Municipal Airport",America/New_York,44.57611,-71.17861
KBMQ,"Burnet, Burnet Municipal Craddock Field",America/Chicago,30.74056,-98.23528
KBMT,Beaumont Municipal Airport,America/Chicago,30.0702,-94.2151
KBNA,"Nashville, Nashville International Airport",America/Chicago,36.11889,-86.68917
KBNO,Burns Municipal Airport,America/Los_Angeles,43.59488,-118.95791
